SSA-OA-FLXTR Station from 11/07/1996 01:00:00 UTC to 24/07/1996 07:00:00 UTC										
										
&environ										
difsky = 0.0										
ca = 380										
/										
										
&latlong										
lat= 53 37 44.0034										
long= 106 11 52.0434										
tzlong= 106										
lonhem='W'										
lathem='N'										
/										
										
&metformat										
dayorhr=1										
nocolumns=11										
khrsperday=48										
startdate='11/07/96'										
enddate='24/07/96'										
columns= 'DOY'	'WIND'	'TAIR'	'TSOIL'	'RH%'	'VPD'	'PAR'	'RAD'	'PRESS'	'PPT'	FBEAM'
/										
										
DOY	WIND	TAIR	TSOIL	RH%	VPD	PAR	RAD	PRESS	PPT	
	m.s-1	Celsius	Celsius	%	Pa	mmol-2s-1	W.m-2	Pa	mm	
										
DATA STARTS										
193	3.479	14.412	12.740	96.724	537.460	0.000	0.000	93843.000	0.000	0.000
193	2.702	14.427	12.670	95.945	665.908	0.000	0.080	93844.000	0.000	0.943
193	2.097	14.250	12.620	97.183	457.336	0.000	0.100	93860.000	0.000	0.943
193	2.797	14.404	12.570	96.462	580.143	0.000	0.070	93879.000	0.000	0.943
193	3.107	14.458	12.520	95.268	778.643	0.000	0.000	93900.000	0.000	0.000
193	3.283	14.585	12.480	92.830	1189.536	0.010	0.120	93933.000	0.000	0.943
193	3.441	14.438	12.450	92.236	1275.903	0.010	0.000	93948.000	0.000	0.000
193	3.041	14.229	12.410	92.983	1137.651	0.370	0.170	93977.000	0.000	0.942
193	3.182	14.490	12.360	91.732	1363.304	7.790	8.510	94008.000	0.139	0.629
193	3.358	14.837	12.330	90.052	1677.479	48.740	36.940	94040.000	0.000	0.130
193	3.179	15.130	12.330	89.311	1836.761	98.320	58.590	94064.000	0.000	0.540
193	3.212	15.142	12.340	89.582	1791.576	183.020	89.470	94094.000	0.000	0.634
193	2.942	15.255	12.340	89.388	1838.244	231.820	112.260	94150.000	0.000	0.718
193	2.911	15.433	12.370	89.241	1885.134	318.270	156.590	94189.000	0.000	0.678
193	2.933	16.218	12.410	86.644	2460.702	623.890	314.580	94242.000	0.000	0.275
193	2.435	17.379	12.540	82.906	3390.358	865.810	433.610	94286.000	0.000	0.167
193	2.628	18.527	12.770	79.678	4332.614	1024.390	509.550	94319.000	0.000	0.158
193	2.393	19.803	13.010	74.522	5881.775	1124.290	556.270	94353.000	0.000	0.169
193	2.927	20.207	13.250	71.749	6687.277	1226.890	608.100	94398.000	0.000	0.172
193	2.461	20.772	13.430	68.745	7660.981	1362.890	677.880	94428.000	0.000	0.158
193	2.043	22.064	13.660	63.779	9610.048	1530.590	771.350	94444.000	0.000	0.146
193	2.225	22.308	13.970	61.358	10406.001	1489.090	747.640	94462.000	0.000	0.163
193	2.422	22.077	14.240	58.655	10978.236	819.830	405.090	94485.000	0.000	0.676
193	2.360	22.224	14.410	58.710	11062.336	1161.490	581.100	94498.000	0.000	0.409
193	2.925	22.706	14.620	55.203	12359.005	1655.890	854.610	94512.000	0.000	0.146
193	3.309	23.633	14.830	48.567	15008.426	1793.390	902.070	94521.000	0.000	0.153
193	4.047	24.071	15.090	43.383	16962.534	1829.890	924.500	94534.000	0.000	0.130
193	3.655	24.243	15.410	39.620	18277.774	1573.490	792.460	94555.000	0.000	0.155
193	2.659	24.225	15.600	40.660	17943.556	1516.990	761.600	94566.000	0.000	0.156
193	1.827	23.930	15.540	41.717	17314.251	669.830	331.160	94590.000	0.000	0.746
193	1.637	23.506	15.360	41.239	17015.915	603.870	296.630	94604.000	0.000	0.770
